iter	Passed	Remaining
0	2	236
1	4	198
2	5	179
3	6	164
4	8	163
5	10	159
6	11	159
7	13	156
8	15	153
9	16	151
10	18	148
11	20	146
12	21	144
13	23	142
14	24	140
15	26	138
16	28	137
17	29	135
18	31	133
19	32	131
20	34	129
21	36	128
22	38	128
23	39	126
24	41	124
25	43	122
26	44	120
27	46	119
28	48	117
29	49	116
30	51	115
31	53	113
32	55	111
33	56	109
34	58	108
35	59	106
36	61	104
37	63	102
38	64	101
39	66	99
40	68	97
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	78	84
48	79	82
49	81	81
50	82	79
51	84	78
52	86	76
53	87	74
54	88	72
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	98	63
61	100	61
62	101	59
63	103	57
64	104	56
65	106	54
66	108	53
67	109	51
68	111	49
69	112	48
70	114	46
71	115	45
72	117	43
73	119	41
74	121	40
75	123	38
76	124	37
77	126	35
78	127	34
79	129	32
80	130	30
81	132	29
82	134	27
83	136	25
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	146	16
90	148	14
91	149	13
92	151	11
93	153	9
94	154	8
95	156	6
96	157	4
97	159	3
98	160	1
99	162	0
